upload_month,date,region,division,location,service_line,lead_source,inquiry_count,tour_count,conversion_count,conversion_rate,days_to_tour,days_to_move_in
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",South Kentucky,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southeast Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Southwest Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central Ohio,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Central South Indiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Great Lakes,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
2026-06,2026-06-19,"",Kentuckiana,"",AL,"",0,0,0,0,0,0
